"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Josh Allen",BUF,"1","1","1.0","0.0"
"2","Patrick Mahomes II",KC,"2","5","2.9","1.1"
"3","Justin Herbert",LAC,"2","5","3.0","0.8"
"4","Kyler Murray",ARI,"3","9","4.8","1.6"
"5","Lamar Jackson",BAL,"2","11","4.9","2.0"
"6","Joe Burrow",CIN,"4","9","5.9","1.5"
"7","Dak Prescott",DAL,"6","13","9.2","2.0"
"8","Matthew Stafford",LAR,"7","13","9.3","1.6"
"9","Russell Wilson",DEN,"7","14","10.2","1.9"
"10","Deshaun Watson",CLE,"5","15","10.4","2.7"
"11","Jalen Hurts",PHI,"7","14","10.7","2.3"
"14","Tom Brady",TB,"5","36","10.8","6.8"
"12","Aaron Rodgers",GB,"6","16","11.1","2.6"
"13","Trey Lance",SF,"7","19","13.6","3.1"
"15","Justin Fields",CHI,"13","19","15.9","1.7"
"16","Derek Carr",LV,"12","23","16.1","2.8"
"17","Kirk Cousins",MIN,"14","20","16.3","1.5"
"18","Tua Tagovailoa",MIA,"15","24","18.3","2.4"
"19","Ryan Tannehill",TEN,"16","22","18.9","1.7"
"20","Trevor Lawrence",JAC,"15","23","19.3","2.1"
"21","Mac Jones",NE,"19","24","20.9","1.6"
"22","Matt Ryan",IND,"16","25","21.4","2.0"
"23","Zach Wilson",NYJ,"18","28","23.2","1.8"
"24","Jameis Winston",NO,"20","29","24.1","2.2"
"25","Carson Wentz",WAS,"21","29","25.4","1.7"
"26","Daniel Jones",NYG,"23","29","25.9","1.8"
"27","Jared Goff",DET,"25","31","28.3","1.5"
"28","Mitchell Trubisky",PIT,"21","47","29.1","5.5"
"32","Marcus Mariota",ATL,"20","37","29.3","4.4"
"30","Davis Mills",HOU,"26","37","29.6","2.1"
"29","Jimmy Garoppolo",SF,"26","34","30.3","2.4"
"31","Baker Mayfield",CLE,"24","40","31.8","3.9"
"39","Malik Willis",FA,"27","36","32.2","2.9"
"33","Taysom Hill",NO,"29","38","33.7","2.3"
"34","Drew Lock",SEA,"31","43","34.8","3.5"
"36","Sam Darnold",CAR,"31","43","35.5","3.5"
"52","Mason Rudolph",PIT,"34","39","36.5","2.5"
"35","Teddy Bridgewater",MIA,"30","44","36.5","3.3"
"37","Ryan Fitzpatrick",WAS,"31","46","36.8","3.7"
"38","Gardner Minshew II",PHI,"34","46","37.8","2.9"
"40","Kenny Pickett",FA,"32","47","38.8","4.7"
"44","Matt Corral",FA,"34","48","39.0","4.3"
"43","Tyler Huntley",BAL,"36","44","39.9","2.1"
"46","Sam Howell",FA,"33","47","40.1","4.1"
"42","Taylor Heinicke",WAS,"37","47","40.9","3.0"
"41","Jordan Love",GB,"35","49","41.9","4.0"
"48","Desmond Ridder",FA,"37","48","42.6","3.2"
"47","Cam Newton",FA,"39","48","43.0","3.1"
"45","Kyle Trask",TB,"38","52","44.6","3.8"
"49","Tyrod Taylor",NYG,"41","49","46.3","3.0"
"50","Andy Dalton",NO,"41","50","46.5","3.7"
"51","Case Keenum",BUF,"44","52","47.8","3.1"
"53","Carson Strong",FA,"43","56","48.2","4.7"
"56","Colt McCoy",ARI,"47","54","50.7","2.9"
"54","Geno Smith",SEA,"45","55","51.0","3.7"
"55","Jacoby Brissett",CLE,"46","53","51.0","2.9"
"57","Kellen Mond",MIN,"49","55","53.0","2.4"
