"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1",1,"Jonathan Taylor",IND,"1","3","1.4","0.6"
"2",1,"Austin Ekeler",LAC,"2","6","3.7","1.4"
"3",1,"Derrick Henry",TEN,"1","10","3.8","1.9"
"4",1,"Christian McCaffrey",CAR,"1","9","4.0","2.3"
"5",2,"Dalvin Cook",MIN,"3","10","6.1","1.8"
"6",2,"Najee Harris",PIT,"3","9","6.1","1.9"
"7",2,"Javonte Williams",DEN,"3","12","8.3","2.4"
"8",2,"Joe Mixon",CIN,"5","12","8.4","2.0"
"9",2,"Cam Akers",LAR,"4","20","9.6","5.6"
"10",2,"D'Andre Swift",DET,"5","12","9.6","1.5"
"11",3,"Alvin Kamara",NO,"5","17","10.7","2.4"
"12",3,"Nick Chubb",CLE,"6","17","12.2","2.5"
"13",3,"Leonard Fournette",TB,"6","21","13.1","4.2"
"14",3,"Antonio Gibson",WAS,"12","17","14.3","1.7"
"15",3,"Aaron Jones",GB,"9","19","15.6","2.6"
"16",3,"Saquon Barkley",NYG,"10","22","16.1","3.1"
"17",3,"David Montgomery",CHI,"13","20","16.4","1.9"
"18",4,"James Conner",ARI,"13","25","18.9","3.8"
"19",4,"Josh Jacobs",LV,"14","26","19.0","2.7"
"20",4,"Ezekiel Elliott",DAL,"16","25","19.7","2.8"
"21",4,"Elijah Mitchell",SF,"16","25","20.6","2.4"
"22",4,"J.K. Dobbins",BAL,"14","29","22.8","3.9"
"23",4,"Michael Carter",NYJ,"17","32","24.5","3.4"
"24",4,"AJ Dillon",GB,"21","30","24.7","2.7"
"25",4,"Miles Sanders",PHI,"22","33","26.7","2.6"
"26",4,"Damien Harris",NE,"21","34","26.9","3.0"
"27",4,"Clyde Edwards-Helaire",KC,"20","36","27.6","4.2"
"28",4,"Travis Etienne Jr.",JAC,"20","37","28.1","4.9"
"29",4,"Chase Edmonds",MIA,"25","34","28.9","2.2"
