"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Travis Kelce",KC,"1","3","1.2","0.5"
"2","Mark Andrews",BAL,"1","4","2.2","0.6"
"3","Kyle Pitts",ATL,"1","5","3.0","0.8"
"4","George Kittle",SF,"2","6","4.1","0.7"
"5","Darren Waller",LV,"3","6","4.8","0.7"
"6","T.J. Hockenson",DET,"6","8","6.4","0.6"
"7","Dallas Goedert",PHI,"6","10","7.6","0.9"
"8","Dalton Schultz",DAL,"6","18","9.4","3.0"
"9","Dawson Knox",BUF,"6","15","10.2","2.1"
"10","Pat Freiermuth",PIT,"7","14","10.9","1.8"
"11","Mike Gesicki",MIA,"9","15","11.1","1.9"
"12","Rob Gronkowski",FA,"8","19","12.2","2.7"
"13","Zach Ertz",ARI,"9","19","12.2","2.7"
"14","Cole Kmet",CHI,"13","20","14.5","1.4"
"15","Noah Fant",SEA,"11","21","15.0","2.5"
"16","Hunter Henry",NE,"14","20","17.4","1.6"
"17","Logan Thomas",WAS,"12","26","17.8","3.1"
"23","Albert Okwuegbunam",DEN,"9","41","18.4","8.3"
"18","Evan Engram",JAC,"16","25","19.2","2.9"
"19","Tyler Higbee",LAR,"15","25","19.2","2.2"
"21","Gerald Everett",LAC,"16","29","21.6","2.8"
"20","Robert Tonyan",GB,"18","28","21.7","3.0"
"28","David Njoku",CLE,"14","42","23.7","7.5"
"22","Austin Hooper",TEN,"22","32","24.8","2.3"
"24","Jonnu Smith",NE,"22","33","25.7","3.6"
"26","Adam Trautman",NO,"23","36","27.0","3.5"
"25","Dan Arnold",JAC,"21","39","28.0","4.4"
"27","Jared Cook",LAC,"23","39","28.6","4.3"
"29","Irv Smith Jr.",MIN,"21","48","30.5","6.1"
"30","O.J. Howard",BUF,"26","44","30.5","3.9"
"32","Brevin Jordan",HOU,"18","46","31.6","6.5"
"31","Hayden Hurst",CIN,"24","42","31.7","4.2"
"36","C.J. Uzomah",NYJ,"22","46","32.3","6.8"
"41","Mo Alie-Cox",IND,"25","42","33.0","5.1"
"34","Eric Ebron",FA,"25","51","33.7","5.7"
"33","Anthony Firkser",TEN,"27","44","34.0","4.8"
"40","Tyler Conklin",NYJ,"26","41","34.7","4.5"
"37","Tommy Tremble",CAR,"29","41","36.0","3.9"
"35","Blake Jarwin",FA,"27","51","36.4","6.8"
"42","Trey McBride",FA,"30","49","38.4","5.5"
"45","Josiah Deguara",GB,"31","49","39.1","6.5"
"39","Chris Herndon IV",MIN,"33","55","39.9","6.3"
"46","Harrison Bryant",CLE,"33","53","40.0","6.3"
"51","Ricky Seals-Jones",NYG,"27","48","40.3","8.4"
"47","John Bates",WAS,"30","52","40.4","6.5"
"38","Jimmy Graham",CHI,"34","57","40.9","7.0"
"48","Kylen Granson",IND,"37","46","42.0","3.5"
"43","Foster Moreau",LV,"34","53","42.1","5.7"
"44","Kyle Rudolph",FA,"32","54","44.3","7.6"
"49","Donald Parham Jr.",LAC,"41","51","44.6","3.6"
"50","Cameron Brate",TB,"42","50","45.3","2.6"
"59","Tre' McKitty",LAC,"39","54","46.5","7.5"
"53","Greg Dulcich",FA,"40","55","47.8","5.5"
"60","Drew Sample",CIN,"43","53","48.0","5.0"
"55","Isaiah Likely",FA,"41","57","48.8","5.7"
"52","Jalen Wydermyer",FA,"45","56","49.6","4.0"
"54","Juwan Johnson",NO,"38","56","50.2","6.7"
"56","Jeremy Ruckert",FA,"43","58","51.8","5.1"
"61","Grant Calcaterra",FA,"46","61","53.0","6.2"
"58","Charlie Kolar",FA,"50","59","54.0","3.7"
"57","Jacob Harris",LAR,"40","62","54.2","7.6"
"62","Kenny Yeboah",NYJ,"52","60","56.0","4.0"
