"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Cooper Kupp",LAR,"1","3","1.2","0.6"
"2","Justin Jefferson",MIN,"1","3","2.3","0.7"
"3","Ja'Marr Chase",CIN,"2","5","3.3","1.0"
"4","Davante Adams",LV,"2","5","3.6","1.1"
"5","Stefon Diggs",BUF,"4","9","5.3","1.1"
"6","Deebo Samuel",SF,"6","11","7.4","1.8"
"7","A.J. Brown",TEN,"5","10","7.8","1.3"
"8","Tyreek Hill",MIA,"4","13","8.1","3.0"
"9","CeeDee Lamb",DAL,"6","11","8.6","1.4"
"10","Keenan Allen",LAC,"7","15","10.0","2.5"
"11","Jaylen Waddle",MIA,"7","18","12.3","3.3"
"12","Mike Evans",TB,"10","19","13.8","2.9"
"13","Diontae Johnson",PIT,"10","21","14.3","3.0"
"14","Tee Higgins",CIN,"9","23","14.5","3.4"
"15","DeAndre Hopkins",ARI,"11","26","14.8","3.3"
"16","D.K. Metcalf",SEA,"11","26","16.3","4.0"
"17","DJ Moore",CAR,"14","25","17.5","3.1"
"18","Chris Godwin",TB,"13","36","18.4","5.5"
"19","Michael Pittman Jr.",IND,"10","32","20.6","3.6"
"20","Terry McLaurin",WAS,"16","25","20.9","2.5"
"21","Brandin Cooks",HOU,"16","32","22.5","4.1"
"22","Jerry Jeudy",DEN,"12","35","22.6","4.8"
"23","Amari Cooper",CLE,"16","30","22.7","3.4"
"24","Elijah Moore",NYJ,"19","37","25.4","4.2"
"25","Allen Robinson II",LAR,"17","35","27.4","5.4"
"26","Courtland Sutton",DEN,"13","39","27.6","6.8"
"27","Hunter Renfrow",LV,"22","38","27.8","4.1"
"28","Amon-Ra St. Brown",DET,"20","36","27.9","4.9"
"29","DeVonta Smith",PHI,"19","36","29.3","3.9"
"30","Tyler Lockett",SEA,"18","42","29.8","6.1"
"31","Darnell Mooney",CHI,"24","41","30.0","3.6"
"32","Marquise Brown",BAL,"24","38","31.3","3.3"
"33","JuJu Smith-Schuster",KC,"18","52","32.2","9.4"
"34","Adam Thielen",MIN,"26","43","33.2","5.0"
"35","Mike Williams",LAC,"26","49","35.0","5.8"
"36","Brandon Aiyuk",SF,"29","44","37.4","4.2"
"37","Michael Thomas",NO,"32","51","38.9","4.4"
"43","Cordarrelle Patterson",ATL,"26","57","39.5","8.3"
"38","Rashod Bateman",BAL,"32","48","39.8","3.4"
"39","Kadarius Toney",NYG,"33","48","39.9","3.7"
"40","Chase Claypool",PIT,"34","49","40.2","4.3"
"41","Robert Woods",TEN,"33","63","41.8","6.0"
"42","Gabriel Davis",BUF,"26","65","42.8","7.5"
"44","Michael Gallup",DAL,"35","62","43.6","5.9"
"45","Christian Kirk",JAC,"36","55","44.6","5.2"
"46","Jakobi Meyers",NE,"37","59","47.8","4.9"
"47","DeVante Parker",NE,"41","64","48.4","5.9"
"48","Russell Gage",TB,"34","60","49.3","6.9"
"49","Rondale Moore",ARI,"42","58","50.2","4.0"
"50","Jarvis Landry",FA,"44","70","52.5","6.4"
"51","Odell Beckham Jr.",FA,"30","92","52.6","15.2"
"52","Tyler Boyd",CIN,"46","66","53.2","4.9"
"53","Sterling Shepard",NYG,"47","68","55.6","5.3"
"54","Kenny Golladay",NYG,"44","64","56.0","6.2"
"55","D.J. Chark Jr.",DET,"48","66","56.0","4.3"
"56","Corey Davis",NYJ,"49","70","57.8","5.4"
"57","William Fuller V",FA,"49","70","58.7","4.9"
"58","Van Jefferson",LAR,"46","81","59.0","8.2"
"61","Curtis Samuel",WAS,"49","73","60.3","5.3"
"59","Laviska Shenault Jr.",JAC,"54","80","61.9","5.3"
"60","Marquez Valdes-Scantling",KC,"40","82","62.6","12.1"
"66","Terrace Marshall Jr.",CAR,"55","79","65.0","5.7"
"62","Robby Anderson",CAR,"59","83","65.2","5.8"
"63","Cole Beasley",FA,"52","96","66.0","11.2"
"64","Mecole Hardman",KC,"51","81","67.0","6.6"
"65","Julio Jones",FA,"58","81","67.5","4.9"
"67","Allen Lazard",GB,"39","95","68.8","14.2"
"68","Marvin Jones Jr.",JAC,"56","86","68.9","6.2"
"69","Joshua Palmer",LAC,"57","79","69.8","5.5"
"85","Treylon Burks",FA,"44","88","70.2","16.1"
"70","Tim Patrick",DEN,"50","102","72.3","13.3"
"71","Jamison Crowder",BUF,"52","93","72.4","9.0"
"72","Nico Collins",HOU,"58","88","73.4","7.4"
"89","Garrett Wilson",FA,"49","90","74.8","15.0"
"73","Marquez Callaway",NO,"59","98","75.7","9.6"
"76","Braxton Berrios",NYJ,"52","101","77.8","14.7"
"74","Kendrick Bourne",NE,"59","103","79.2","10.0"
"91","Jameson Williams",FA,"52","99","79.6","14.0"
"77","A.J. Green",ARI,"69","105","81.0","8.4"
"94","Chris Olave",FA,"52","94","81.1","13.5"
"78","Emmanuel Sanders",BUF,"65","112","81.4","11.2"
"97","Drake London",FA,"50","102","81.7","18.9"
"75","Donovan Peoples-Jones",CLE,"66","100","81.9","8.8"
"79","Tre'Quan Smith",NO,"72","112","82.4","8.8"
"82","Nelson Agholor",NE,"68","108","83.3","10.7"
"95","Cedrick Wilson Jr.",MIA,"69","111","84.6","10.9"
"80","Parris Campbell",IND,"66","109","85.0","10.8"
"81","Byron Pringle",CHI,"72","107","85.8","8.6"
"86","K.J. Osborn",MIN,"73","108","86.8","9.3"
"88","Zay Jones",JAC,"63","102","88.4","10.2"
"98","Antonio Brown",FA,"58","113","88.8","12.3"
"83","Bryan Edwards",LV,"75","115","89.5","10.8"
"84","Darius Slayton",NYG,"76","113","89.8","9.2"
"90","Jalen Reagor",PHI,"71","114","89.8","11.3"
"87","Josh Reynolds",DET,"77","129","91.5","11.6"
"96","KJ Hamler",DEN,"73","110","91.9","9.7"
"103","George Pickens",FA,"68","107","93.1","11.9"
"104","Jahan Dotson",FA,"62","107","93.4","12.4"
"92","Dyami Brown",WAS,"83","104","93.5","6.1"
"93","Quintez Cephus",DET,"81","118","93.7","7.7"
"109","Christian Watson",FA,"71","112","96.0","13.0"
"99","T.Y. Hilton",IND,"88","111","98.4","6.2"
"107","Tyrell Williams",FA,"86","111","98.8","8.4"
"111","Isaiah McKenzie",BUF,"79","122","100.1","13.6"
"101","Randall Cobb",GB,"83","115","100.6","7.2"
"105","Skyy Moore",FA,"85","114","100.6","9.5"
"102","Quez Watkins",PHI,"90","112","100.8","6.1"
"106","David Bell",FA,"87","121","101.6","10.1"
"113","Laquon Treadwell",JAC,"72","113","101.8","11.4"
"119","Justyn Ross",FA,"84","121","101.8","12.7"
"100","Demarcus Robinson",LV,"92","117","101.8","6.5"
"108","Tyler Johnson",TB,"84","130","102.5","10.6"
"112","John Metchie",FA,"88","117","105.4","8.8"
"110","Wan'dale Robinson",FA,"95","119","105.9","6.0"
"116","Jalen Guyton",LAC,"97","119","106.0","9.2"
"127","Deonte Harris",NO,"87","125","106.0","19.0"
"115","Anthony Schwartz",CLE,"95","117","107.0","8.2"
"128","Cyril Grayson Jr.",TB,"82","132","107.0","25.0"
"118","Jalen Tolbert",FA,"98","122","107.8","8.2"
"130","Amari Rodgers",GB,"92","126","109.0","17.0"
